playKey	playDesc	team	season	week	gameId	playId
553	(2:16) D.Henry right tackle ran ob at NE 46 for 29 yards (D.Harmon).	TEN	2019	18	2020010401	1604
554	(5:44) (Shotgun) R.Tannehill pass short middle to A.Firkser for 12 yards, TOUCHDOWN.	TEN	2019	18	2020010401	597
555	(6:59) (Shotgun) D.Henry pass short middle to C.Davis for 3 yards, TOUCHDOWN. Direct snap	TEN	2019	19	2020011101	2458
556	(8:37) D.Henry up the middle to BLT 06 for 66 yards (M.Peters).	TEN	2019	19	2020011101	2388
557	(14:53) R.Tannehill pass deep middle to K.Raymond for 45 yards, TOUCHDOWN.	TEN	2019	19	2020011101	813
558	(3:42) (Shotgun) R.Tannehill pass short left to J.Smith for 12 yards, TOUCHDOWN. The Replay Official reviewed the pass completion ruling, and the play was Upheld. The ruling on the field stands.	TEN	2019	19	2020011101	596
559	(8:02) (Shotgun) L.Jackson pass deep middle intended for M.Andrews INTERCEPTED by K.Byard at TEN 19. K.Byard to 50 for 31 yards (L.Jackson). PENALTY on BLT-L.Jackson, Unsportsmanlike Conduct, 15 yards, enforced at 50.	TEN	2019	19	2020011101	385
560	(6:43) R.Tannehill pass short left to D.Kelly for 1 yard, TOUCHDOWN.	TEN	2019	20	2020011900	1469
561	(10:07) C.Keenum pass deep middle to T.McLaurin for 69 yards, TOUCHDOWN.	WAS	2019	1	2019090806	1117
562	(11:08) C.Keenum pass short right to V.Davis for 48 yards, TOUCHDOWN. WAS-V.Davis was injured during the play.	WAS	2019	1	2019090806	193
563	(1:29) (No Huddle, Shotgun) D.Haskins pass short middle intended for J.Sprinkle INTERCEPTED by J.Peppers [D.Tomlinson] at WAS 32. J.Peppers for 32 yards, TOUCHDOWN.	WAS	2019	4	2019092907	2823
564	(9:39) S.Sims right end for 65 yards, TOUCHDOWN. End around	WAS	2019	5	2019100609	431
565	(10:11) (Shotgun) D.Haskins pass short right to D.Guice for 45 yards, TOUCHDOWN.	WAS	2019	11	2019111707	3624
566	(1:22) (Shotgun) D.Haskins pass short middle to T.McLaurin for 13 yards, TOUCHDOWN.	WAS	2019	14	2019120803	3729
567	(1:23) D.Haskins pass short middle to T.McLaurin for 75 yards, TOUCHDOWN.	WAS	2019	15	2019121508	700
